PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1626146,Cliff Alexander,1610612757,POR,20.,6-8,80,240,Kansas,USA,Undrafted,Undrafted,Undrafted,7,10,6,0,4.3,0.111,0.133,0.172,0.5,0.
203991,Clint Capela,1610612745,HOU,21.,6-10,82,240,None,Switzerland,2014,1,25,53,382,364,37,1.4,0.134,0.227,0.156,0.548,0.054
203469,Cody Zeller,1610612766,CHA,23.,7-0,84,240,Indiana,USA,2013,1,4,45,395,279,42,1.3,0.081,0.202,0.16,0.558,0.059
202332,Cole Aldrich,1610612746,LAC,27.,6-11,83,250,Kansas,USA,2010,1,11,31,167,117,28,-0.5,0.11,0.272,0.223,0.572,0.128
201147,Corey Brewer,1610612745,HOU,29.,6-9,81,186,Florida,USA,2007,1,7,55,417,135,83,-3.2,0.023,0.101,0.178,0.486,0.112
203928,Cory Jefferson,1610612756,PHX,25.,6-9,81,218,Baylor,USA,2014,2,60,8,22,16,0,-10.2,0.122,0.196,0.209,0.446,0.
202709,Cory Joseph,1610612761,TOR,24.,6-3,75,190,Texas,Canada,2011,1,29,52,455,136,160,9.4,0.021,0.091,0.168,0.531,0.194
201584,Courtney Lee,1610612763,MEM,30.,6-5,77,200,Western Kentucky,USA,2008,1,22,51,511,118,76,1.,0.015,0.079,0.157,0.556,0.08
1626245,Cristiano Felicio,1610612741,CHI,23.,6-10,82,275,None,Brazil,Undrafted,Undrafted,Undrafted,7,3,1,4,-24.3,0.,0.056,0.078,0.521,0.235
1626156,D'Angelo Russell,1610612747,LAL,19.,6-5,77,195,Ohio State,USA,2015,1,2,53,646,191,176,-9.4,0.022,0.123,0.236,0.502,0.22
